0;0
0.0707071;-0.0608765
0.141414;-0.111894
0.212121;-0.143411
0.282828;-0.15185
0.353535;-0.140337
0.424242;-0.112753
0.494949;-0.0750374
0.565657;-0.0337948
0.636364;0.00370434
0.707071;0.0292868
0.777778;0.0350991
0.848485;0.0157386
0.919192;-0.0331976
0.989899;-0.113494
1.06061;-0.222592
1.13131;-0.356889
1.20202;-0.507596
1.27273;-0.66338
1.34343;-0.811219
1.41414;-0.934669
1.48485;-1.0169
1.55556;-1.04141
1.62626;-0.991951
1.69697;-0.854305
1.76768;-0.619547
1.83838;-0.280135
1.90909;0.16353
1.9798;0.70517
2.05051;1.33485
2.12121;2.03143
2.19192;2.7712
2.26263;3.52355
2.33333;4.25164
2.40404;4.91761
2.47475;5.48044
2.54545;5.89841
2.61616;6.13347
2.68687;6.15154
2.75758;5.92152
2.82828;5.4262
2.89899;4.65301
2.9697;3.60163
3.0404;2.28825
3.11111;0.7335
3.18182;-1.02135
3.25253;-2.92678
3.32323;-4.92451
3.39394;-6.94179
3.46465;-8.90385
3.53535;-10.7304
3.60606;-12.3385
3.67677;-13.649
3.74747;-14.59
3.81818;-15.0928
3.88889;-15.1078
3.9596;-14.5974
4.0303;-13.5366
4.10101;-11.9315
4.17172;-9.79554
4.24242;-7.17113
4.31313;-4.1225
4.38384;-0.723789
4.45455;2.92093
4.52525;6.70098
4.59596;10.4933
4.66667;14.1635
4.73737;17.5777
4.80808;20.605
4.87879;23.1156
4.94949;24.9964
5.0202;26.1522
5.09091;26.497
5.16162;25.986
5.23232;24.5883
5.30303;22.304
5.37374;19.1753
5.44444;15.2552
5.51515;10.6452
5.58586;5.46638
5.65657;-0.140294
5.72727;-6.00065
5.79798;-11.9356
5.86869;-17.7519
5.93939;-23.2492
6.0101;-28.2327
6.08081;-32.5195
6.15152;-35.9312
6.22222;-38.3249
6.29293;-39.5791
6.36364;-39.5962
6.43434;-38.3386
6.50505;-35.7819
6.57576;-31.9616
6.64646;-26.9567
6.71717;-20.8685
6.78788;-13.8657
6.85859;-6.13253
6.92929;2.11024
7;10.6084
